"","GEOID","location","name","estimate","moe","label","concept","geography"
"120","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_015",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","MEANS OF TRANSPORTATION TO WORK","block group"
"121","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_016",0,12,"Estimate!!Total:!!Taxicab","MEANS OF TRANSPORTATION TO WORK","block group"
"122","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_017",0,12,"Estimate!!Total:!!Motorcycle","MEANS OF TRANSPORTATION TO WORK","block group"
"123","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_018",0,12,"Estimate!!Total:!!Bicycle","MEANS OF TRANSPORTATION TO WORK","block group"
"124","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_019",9,16,"Estimate!!Total:!!Walked","MEANS OF TRANSPORTATION TO WORK","block group"
"125","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_020",0,12,"Estimate!!Total:!!Other means","MEANS OF TRANSPORTATION TO WORK","block group"
"126","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_021",70,68,"Estimate!!Total:!!Worked from home","MEANS OF TRANSPORTATION TO WORK","block group"
"127","295101013002","Block Group 2; Census Tract 1013; St. Louis city; Missouri","B08301_001",290,120,"Estimate!!Total:","MEANS OF TRANSPORTATION TO WORK","block group"
"128","295101013002","Block Group 2; Census Tract 1013; St. Louis city; Missouri","B08301_002",284,120,"Estimate!!Total:!!Car, truck, or van:","MEANS OF TRANSPORTATION TO WORK","block group"
"129","295101013002","Block Group 2; Census Tract 1013; St. Louis city; Missouri","B08301_003",271,119,"Estimate!!Total:!!Car, truck, or van:!!Drove alone","MEANS OF TRANSPORTATION TO WORK","block group"
"130","295101013002","Block Group 2; Census Tract 1013; St. Louis city; Missouri","B08301_004",13,21,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:","MEANS OF TRANSPORTATION TO WORK","block group"
"131","295101013002","Block Group 2; Census Tract 1013; St. Louis city; Missouri","B08301_005",13,21,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"132","295101013002","Block Group 2; Census Tract 1013; St. Louis city; Missouri","B08301_006",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"133","295101013002","Block Group 2; Census Tract 1013; St. Louis city; Missouri","B08301_007",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
